id,FalseSent,OptionA,OptionB,OptionC,label
1703,the hot weather made me keep bleeding,you need a doctor immediately if you are bleeding,too much blood loss can lead to death,people only bleed when they are injured,C
1704,you don't need to try out products when you shop online,you can try out products in offline shops,you can spend less time in shopping if you don't try out products,people do need to try out products when they are shopping,C
1705,reading can make driving a joyful thing,driving is a joyful thing itself,drivers can't read books when they are driving,reading in cars will make many people feel sick,B
1706,everyone said I had two beautiful mouths,the mouth is an important part of the face,a human only has one mouth,beautiful people are more popular,B
1707,cat walking is a useful skill in marathon running,both cat walking and marathon running require strict training,marathon is a difficult sport,cat walking is used by models in the show,C
1708,both funerals and weddings are cheerful ceremonies,everyone will have his funeral,not everyone will experience weddings,the atmosphere in funerals is sad,C
1709,I often bought chalk for teachers to write on the ipads when I was a boy,chalk is used to write on the blackboards,only teachers can use the chalk,ipads are widely used in education nowadays,A
1710,his father died for giving birth to him,doctors will ensure the childbirth is safe,men can't have childbirth,children need parental love in the process of growing up,B
1711,gardeners grow crops in gardens,gardens where gardeners work usually belong to others,gardeners eat crops too,growing crops is farmers' job,C
1712,I use Photoshop to change the color of my room,using Photoshop to change colors is too slow,I need a computer first to use Photoshop,Photoshop can't change the colors in the real world,C
1713,I can't forget the night that I saw cells with telescope,telescopes are used to observe things far away,we need light to use telescopes in the evening,some cells can be seen by humans' eyes without using any tools,A
1714,I burned myself accidentally when I was taking a shower,we don't use fire when we take a shower,the process of treating burns is very painful,bathrooms are usually too wet to light fire,A
1715,every time I hang out at the cinema I will get drunk,the cinema is a boring place if you don't watch movies there,the cinema is a place for watching movies rather than drinking,people also chat with others at the bar,B
1716,I gave birth to my grandson,it's my children giving birth to my grandchildren,more and more elders don't have grandchildren now,elders love their grandchildren very much,A
1717,you should have your passport ready before you take domestic flights,you need your passport only when you are abroad,the security clerks will check your personal information strictly,you may lose your passport during the trip,A
1718,I'm looking for a gas station to refuel my bicycle,bicycles don't consume fuel,bicycles are becoming popular again,riding bicycles don't require licenses,A
1719,I refused to drive after drinking gas,not everyone knows how to drive,it's ok driving after drinking gas,humans can't drink gas,C
1720,mushrooms are a very rare dish in Asia,mushrooms are many people's favorite food,mushrooms are not popular in Europe,most people can get mushrooms to eat easily,C
1721,we can change our fingerprints when we want,people don't have hands have no fingerprints,humans' fingerprints can't be changed,different people have different fingerprints,B
1722,flu can spread easily through eye contact,sick people will be isolated so they can see no one,the disease can't spread through eye contact,flu is not a serious illness,B
1723,my son was terrified when he menstruated for the first time,the first menstrual cycle means you are in adolescence now,you may be pregnant if you missed your period,only females menstruate,C
1724,waterfalls are a feat of modern engineering,humans have made great progress in modern engineering,waterfalls are not created by humans,there are many spectacular waterfalls in the world,B
1725,I'm so busy that I haven't slept for two years,sleeping is one of the most comfortable things,we can refresh ourselves by drinking coffee,it's impossible for people not to sleep for two years,C
1726,we can't breathe without the noses,noses are also important for the sense of smell,it's impossible for us to have no noses,we can also use mouth to breathe,C
1727,I brought my friendship to float in the sea,friendship is not a ship,we should treasure our friendships,floating in the sea would be more interesting with friends,A
1728,he won a prize as best thief,thieves will be sent to prison,winning a prize is a cheerful thing,no one will award the thief,C
1729,I don't know what's my real gender,people of different genders are very different,people know their genders,people want to learn themselves,B
1730,Joel said hello to his kids before traveling to Africa,travelling to foreign countries takes a long time,we say hello to almost all the people,people say goodbye to each other when they are about to be separated,C
1731,you will find a payment counter in a police station,we can't walk around the police station without permission,policemen need income too,the police station is not a place of consumption,C
1732,writing a story requires a beautiful voice,there are more and more audiobooks on the Internet,writing a story doesn't need a quiet environment,voice is useless in writing a story,C
1733,a life jacket can save your life when you are falling from a high place,you should be careful when you are in a high place,life jackets are designed to save people's lives,life jackets are used to float in water,C
1734,I love my girlfriend and I want to break up with her,the girlfriend may have fallen in love with others already,people don't want to break up with their lovers,some people have no lovers for the whole lifetime,B
1735,humans can be identified by their unique names,different people may have the same names,a person's name should be included in his self-introduction,other people will remember your name but forget other information easily,A
1736,it has been rainy for a long time and the river dried up,the rain will bring water to the river,drought is a type of extreme weather,the rain is expected in dry places,A
1737,I attended a classical concert to enjoy the paintings,the concert is a music activity,both music and painting are forms of art,classical music can remind me of classical paintings,A
1738,music is a form of artist,both artists and music are great,music has its own charm compared with other art forms,artists are humans,C
1739,a plastic stove is a heat source,plastic has been used in every corner in our life,plastic can't burn,stove is not a modern heat source,B
1740,"where knowledge begins, science ends",knowledge has begun in everyone,science has made great contributions to all mankind,knowledge promotes the development of science,C
1741,many animals eat air but humans don't,air can't provide energy,human beings are also a kind of animals,all animals can't live without air,A
1742,I need to bring my kitchenware when I go to the restaurant,I don't need to cook in the restaurant,nobody can prepare food without kitchenware,I can have free dinner if I cook dinner myself in the restaurant,A
1743,I am so unlucky to find my true love,everyone can find his true love,finding true love is a very lucky thing,some people don't care if they can find their true love,B
1744,the sun rises sometimes in China,the sun shines on China every day,sometimes we can't see the sun the whole day,the sun will disappear in the far future,A
1745,I called the front counter and asked them to send some drugs to my room,drug trafficking is illegal,the use of drugs is a problem in many countries,drugs can make people very happy for a few seconds,A
1746,they have reserved a table for us in the theatre,reserving tables happens in the restaurant,there may be some tables on the stage,some theatres have restaurants inside,A
1747,I promised to help my boyfriend because I was too busy,being too busy can't be the reason you help others,once you promised something you should do it,the lover is one of the closest persons to you,A
1748,football players wear short sleeves to protect themselves,football players are easy to be injured in games,short sleeves have poor protection,wearing long sleeves is also common for football players,B
1749,I want to make an appointment for a facial last week,doing a facial doesn't need appointments,the beauty salon may not have spare time,you can only make appointments for future events,C
1750,plastic surgery is for health,plastic surgery is still a controversial topic nowadays,plastic surgery can't make you healthier,there are many other ways to keep healthy,B
1751,human liver is an expensive ingredient,human liver is not an ingredient,human liver is not expensive,human liver is too difficult to cook,A
1752,some ingredients are expensive because it's common,nobody likes expensive ingredients,photos of expensive ingredients are very common,easy to get will make things cheap,C
1753,ingredients need to be photographed before being eaten,many people like taking pictures of food before eating it,taking pictures can't make ingredients edible,now it's very easy to take pictures,B
1754,I was disappointed because the expensive food tasted good,people expect good things when the price is high,high price will make people feel disappointed,expensive food must be good,A
1755,burying garbage is a green lifestyle,we have the freedom of choosing a green lifestyle or not,not all the garbage is green,landfill will pollute the soil,C
1756,thanks to the leather belt I survived in the car accident,leather belt is used for dressing,it's luck that helps people survive in the car accident,the car accident is decreasing year by year,A
1757,starving people care little about food sources,starving people need food sources to fill their stomachs,many things will be the food source for starving people,we can donate to starving people,A
1758,natural disaster will pity rich people,money is useless in natural disasters,rich people know more about natural disaster,some natural disasters kill no one,A
1759,a campfire can be nice in a cold tent,we don't need campfire if we have air conditioning,we don't need campfire if we have lights,the campfire will burn the tent,C
1760,boys usually can’t wear dress in China,the skirt is designed for women,skirts can be worn on boys,boys all over the world don't wear dress,B
1761,I need fuel to power my smart watch,smart watches consume fuel too quickly,smart watches don't consume fuel,smart watches don't need power,B
1762,I spent the whole night sleeping to get off the jet,sleeping in planes is usually very uncomfortable,sleeping can't help you get off the jet,it's difficult to sleep the whole night,B
1763,gardeners water the leaves of the trees every day,gardeners don't want to work everyday,leaves don't need water,watering the leaves is meaningless,C
1764,I wanted to quit them because I enjoyed chatting with them,I can't chat with them if I quit them,sometimes people want to stay alone,people want to make more and more new friends,A
1765,he found he was gay when he fell in love with a woman,many homosexuals don't want others to know their sexual orientation,homosexuals love people of the same gender,homosexuals should be treated fairly,B
1766,weighing an elephant is very difficult because of its cute appearance,there's no need to weigh an elephant,cute appearance doesn't prevent weighing,we know the weight of an elephant without weighing it,B
1767,the malignant tumor doesn’t have fatal harm for you,the malignant tumor kills the patients easily,if the tumor is fatal or not is decided by doctors,medical technology have developed greatly,A
1768,kids catch butterflies for food,kids often need adults' help to catch butterflies,butterflies are not food for human,butterflies are not delicious,B
1769,drinking milk can help teenagers grow shorter,milk is very nutritious,it's impossible for people to grow shorter,milk is common in breakfast,B
1770,I used to take notes on the pens,people who have good memory don't need to take notes,we use smartphones to take notes nowadays,pens have no space to take notes,C
1771,I use a knife to eat rice,eating rice doesn't need to cut,knife will make rice lose nutrition,knifes are often used with forks,A
1772,students need to write their scores on the examination paper,scores are written by teachers on the paper,students care about examination score very much,students don't need to know their scores,A
1773,perming will make your hair longer,perming too many times is bad for people's health,perming can't change the length of hair,perming is very popular during teenagers,B
1774,twins died on the same day,many twins are very similar in almost every respect,twins don't necessarily die at the same time,twins often do something at the same time,B
1775,one kilogram of stone is much heavier than a kilogram of feather,a piece of stone is much heavier than a piece of feather,the density of the stone is much larger than the feather,any things that are one kilogram are equally heavy,C
1776,it's crazy to turn on the air conditioning on a freezing day,air conditioning can warm up a room,air conditioning consumes too much electricity,we need thicker sweaters on freezing days,A
1777,we need different passports to visit different countries,what we need to visit other countries is fly tickets,we can't go abroad without passports,one person only has one legal passport,C
1778,people doing noble things are really selfish,nowadays people only care about themselves,noble things include unselfish things,selfish people also do noble things,B
1779,spring festival celebrates the first day of the solar calendar new year,spring festival is the Lunar Festival,spring festival now is widely celebrated in the whole world,spring festival is the Chinese traditional festival,A
1780,after the loan we need to give credit card back to the bank,we can use credit cards to apply for a loan,we can keep credit cards when we owe the bank,credit cards can't be recycled,B
1781,I always carry my desktop pc with me,desktop pc is too heavy to be carried around,there's no need to carry computers all the time,more and more things can be done on the Internet,A
1782,Nike printed the prices on the clothes,customers care about the price of clothes very much,every cloth has its price,clothes' prices are printed on the price cards,C
1783,I took a photo to record the process of my son making cakes for the first time,a photo can only record one moment of an action,we don't need to record the first time of doing everything,taking photos of others need other people's permission,A
1784,doctors often wear masks to prevent being recognized,doctors need to be recognized by their patients,masks are a very common medical tool,wearing a mask will not hinder the doctor's work,A
1785,I have more and more black hair as I get older,people will have less and whiter hair when they are old,elders don't care about their hair,people's hair will grow for people's whole life,A
1786,believers have ever really heard or seen god,god is important for a religion,god is believers' dependence,god doesn't exist actually,C
1787,wearing slippers are a good choice for weddings,slippers are too informal for weddings,it's nice if weddings are held in a relaxed atmosphere,wearing slippers is very comfortable,A
1788,grasshoppers can be a water source,nobody wants to put grasshoppers in mouth,grasshoppers contain little water,grasshoppers are rare in dry places,B
1789,a open air park is a good place to stay on rainy days,open air parks are especially good for family activities,an open air park are often the center of a community,you will get wet in open air park on rainy days,C
1790,most of the earth's surface is covered by dirt,almost all the people live on land,soil is an important part of the earth,soil on the earth's surface is less than water,C
1791,students attend concerts to further their education,not all the students are interested in classical music,most students can't be educated at the concert,concert tickets are too expensive for students,B
1792,language is the only way to communicate for human beings,language is very effective for communication in most situations,people can communicate in many other ways,every nation has its own language,B
1793,language remains unchanged as time goes by,words in some languages have never changed for thousands of years,nobody knows what will happen in the future,languages will change to adapt to changes in the world,C
1794,a cup of coffee in the morning can make you smarter,coffee can't improve intelligence,coffee that can make you smarter is very expensive,you can have a cup of coffee at any time,A
1795,I pressed the accelerator in my bicycle to speed up,bicycles often have two wheels,cycling too fast is very dangerous,bicycles don't have accelerators,C
1796,I ate iron to end my hunger pains,humans can't eat iron,you should find some food immediately when you have hunger pains,hunger pains are bad for health,A
1797,the plane landed smoothly in the parking lot,plane landing is not an easy thing,parking lot is used to park cars,many parking lots are available for a fee,B
1798,"in old age, muscles go through a growth spurt",people still use muscles every day in old age,people don't have muscles in old age,muscles develop very slowly in old age,C
1799,animals develop from seeds,both animals and seeds have lives,animals develop from eggs,animals are much bigger than seeds,B
1800,washing your car is for keeping it fast,car speed has nothing to do with its cleanliness,your car will always get dirty,keeping car fast consumes fuel,A
1801,people invented toothpaste to keep toothbrush clean,cleaning toothbrush doesn't need toothpaste,toothbrush cleanliness is important for the health of the teeth,toothpaste are produced in factories,A
1802,you can buy drinks from vending machines without paying money,the variety of drinks are limited in vending machines,vending machines are the result of technology development,drinks in vending machines are not free,C
1803,movie stars often photograph others in public,stars don't know how to photograph,it's weird for stars to photograph others,stars don't appear in public,B
1804,it seems my joke is funny because nobody laughed,a funny joke should make people laugh,different people will have different feelings about the same joke,telling a boring joke is embarrassing,A
1805,you need to be careful of sharks when you swim in the swimming pool,sharks can kill people easily in water,swimming in the swimming pool is safe generally,sharks don't live in the swimming pool,C
1806,I finished my work while I going to sleep,you may feel difficult to fall asleep when you have unfinished work,sometimes people dream that they were working,people can't do anything else when they are sleeping,C
1807,"I can't afford the flight ticket from China to the US, so I decided to walk",tickets from China to the US are not expensive in spring,you can only go to America by swimming,the distance between China and America is too long to walk,C
1808,animals in the Acrobatic Troupe receive wages every day,animals help the Acrobatic Troupe earn a lot of money,money is useless to animals,animals should be treated fairly,B
1809,teammates are here to encourage you in teamwork,everyone on the team needs to take on the work,encouraging each other can create a good team atmosphere,teammates can become good friends,A
1810,the teacher was very cheerful that I was late for school again and again,being late for school is a violation of regulations,insisting on doing one thing is very worthwhile,teachers don't care about what students do,A
1811,girls wear skirts in winter for warmth,skirts are inefficient in keeping warm,wearing skirts is more and more common in winter nowadays,skirts are suitable for girls very much,A
1812,driving a car is a good choice to enjoy your stay at home,you can drive cars in many video games when you stay at home,most people don't have big enough houses to drive a car,home is the most comfortable place for most people,B
1813,he scored a crucial goal by hand in a soccer match,hands can't touch the ball in a soccer match,playing soccer is a group sport,players who scored a goal are the heroes of the team,A
1814,we built street lamps to provide a personal service,street lamps were built by the government,street lamps light for everyone,street lamps only light in the evening,B
1815,crops can't live without farmers,if all the crops died then humans can't live,plants can grow on their own without human intervention,crops can grow better with farmers' help,B
1816,I was very scared to see old friends abroad,when we feel scared we should run away immediately,we should be careful when we are abroad,seeing old friends is a happy thing,C
1817,Alice broke down when the situation was hopeful,when someone else broke down we should try to comfort him,people don't need to feel upset in a hopeful situation,the situation won't be hopeful if we do nothing,B
1818,ice cream is more popular in winter than in summer,ice cream has been very popular for hundreds of years,not every place on the earth has different seasons,it is too cold to eat ice cream in winter,C
1819,my boss checks read messages carefully every day,read messages are messages that have already been checked before,the email is a useful tool for remote communication,the boss prefers to communicate face to face,A
1820,we are vaccinated for the cure of the disease,most of us were vaccinated when we were children,some diseases still cannot be cured,vaccine can only prevent disease,C
1821,I bought a pan for drinking fresh juice,the pan can't squeeze the juice contained in the fruit,the capacity of the pan is not big enough,fresh juice is good for health,A
1822,taking summer vacation caused lots of stress,preparing for the holidays is very troublesome,taking a vacation is very relaxing,taking a vacation can relieve stress,B
1823,disguise can lead you to the answer,to find the answer you can only rely on yourself,disguise covers up the answer,the process of finding answers is interesting,B
1824,you can definitely cook food well by following a recipe,recipes can only increase your chances of cooking food well,everyone can learn how to cook food well,recipes can be bought online,A
1825,the company hired more employees because of continued losses,hiring employees will increase the company's losses,the company will bankrupt if it can't stop the loss in time,employees can help the company earn more money,A
1826,the blind man can't hear me yelling,we should lend a helping hand to the blind man,yelling at others is very rude,blind men can't see but they can hear the sound,C
1827,I'm waiting for a cloudy night to observe stars,the weather at night influences the observation of the stars greatly,clouds will block the sight of observation of the stars,stars can't be seen in downtown,B
1828,building workers risk injury by not wearing baseball caps,the building worker is not a safe job,building workers like wearing baseball caps in their spare time,baseball caps are useless in protection of the head,C
1829,buying presents requires love or money,you can't buy presents without money,sometimes love is more valuable than money,presents are often used to show love,A
1830,going to the zoo is for being seen,zoo visitors' attention is all on the animals,animals can see the visitors too,the zoo is a suitable place for the family activity,A
1831,the horses water the cowboy everyday,cowboys can drink water by themselves,watering the cowboy only need one horse,the horses and the cowboy love each other,A
1832,people expect boredom when they go to the cinema,some films are really boring,people will try to find things to do when they feel boring,people go to the cinema for fun,C
1833,Bob sang a picture yesterday,a picture is very difficult to sing,a person can both be a singer and painter,only songs can be sung,C
1834,paying by credit card is for not paying money,the price doesn't change when you pay by credit card,you can buy more things if have several credit cards,using credit cards too frequently is not a good habit for a young man,A
1835,you need a dog if you want to share your story,dogs can't understand what humans say,dogs will bark to strangers,dogs can make people no longer feel lonely,A
1836,the players will buy a cup of beer before the basketball game begins,drinking before the game will make the player performs worse,drinking is a common behavior when people are under pressure,playing basketball will make players thirst,A
1837,I need to say goodbye to people on TV when I finish watching the TV show,people on TV can't communicate with the audience,saying goodbye when you are going to leave is a good manner,we shouldn't spend too much time in watching TV,A
1838,goods can be transported by wind,goods need to be protected well during transportation,the wind can move a lot of things,humans can't control the wind to transport goods,C
1839,the ship hit the train yesterday,ships move much slower than the train,ships move in the water while the train moves in the land,traffic accident is terrible,B
1840,I can lift the gym easily,people lift many things in the gym,a gym is too heavy for humans to lift,excessive exercise is harmful to the body,B
1841,meeting my friends is for business,most friends meetings occur during the free time,we do business for money,friends aren't those doing business with you,C
1842,when you borrowed a car you can sell it to others,we sell our things for money,only good friends will lend their cars to you,you don't own the thing you borrowed,C
1843,I had plastic surgery in the pharmacy,plastic surgery is more expensive than drugs,we need to go to the pharmacy in order to cure our diseases,the pharmacy doesn't have equipment to do surgery,C
1844,fortunately the fat man lost fingers by working hard,losing fingers is not a fortunate thing,you can succeed as long as you work hard,we shouldn't discriminate against fat men,A
1845,couples would divorce if they believed each other,couples believed each other would continue to live together,divorce breaks up a lot of families,divorce requires the consent of the judge,A
1846,I stop eating salt food to lose weight,too much salt intake can cause health problems,salt food has little to do with gaining weight,the key of losing weight is persistence,B
1847,the weather can be either sweet or salt in China,the weather can't be tasted,seasonal changes can affect people's lives,there are no obvious seasonal changes in some places,A
1848,adults change clothes according to their height every day,many people are very concerned about their height,nobody change clothes every day,the height of an adult basically doesn't change,C
1849,you can use a link to write things,link is not a material object and can't be touched,if we click a link we may see things written by others,more and more people write things on the computer,A
1850,museum exhibits artifacts for sale,the museum needs funds for daily operations,nobody can buy artifacts in the museum,artifacts in museum are treasure,B
1851,the alarm ringing announced that the class was over,the alarm ringing announces emergency,"when the class is over, students will go out of the classroom","when the class is over, students will run out of the classroom",A
1852,passengers need to undergo a rigorous safety check before taking a taxi,people take a taxi very frequently,safety check before taking a taxi is not rigorous,safety check before taking a taxi is meaningless,C
1853,you can use money to buy some health to live longer,people get better treatment can live longer,rich people can buy almost everything,health can't be bought,C
1854,studying requires violence,violence can't help you learn knowledge,we need proper violence to protect ourselves,you need to have many good qualities to study well,A
1855,we used optical microscopes to see atoms in science class,using microscope need to be taught to students,we can learn knowledge about atoms in science textbooks,atoms are so small that it's impossible to see them by using optical microscopes,C
1856,designers show outdated clothes in a fashion show,a fashion show is very artistic,some outdated clothes can give designers some inspirations,the fashion show is held to exhibit the latest achievements,C
1857,the driver offered his seat to the old lady on the bus,the seat belongs to the person who gets it first,drivers need to sit in their seat to drive the bus,old people should be taken care of by others in public,B
1858,I jumped into the fire to cool myself,we do cool things to show off,when you are on fire you need to find something to cool yourself immediately,the fire is too hot to cool anything,C
1859,my father sold the best salesmen to become the best product,products and salesmen often appear together,humans can't be sold,nobody buy products from salesmen now,B
1860,I washed my computers twice a week,computers will be damaged if they are washed,a person can only have one computer,computers will never get dirty,A
1861,I used to step on the mountain to get the sugar on the op of the cupboard,it's wrong to steal sugar,mountains are much more higher than cupboards,it's impossible to know where the sugar is if parents hide it,B
1862,a wall is the entrance of a house,a house can't be built without walls,people can't go through the wall,a house can have several entrances,B
1863,we built a factory to produce creative ideas,only rich people can build factories,producing creative ideas is very expensive and difficult,good ideas can only come out from your mind,C
1864,we use the microscope to learn about the universe,we don't need any tools to learn about the universe,the microscope is used to magnify tiny things,there are still many unknown things about the universe,B
1865,we can find first class airplane seats in the wings of a plane,we can have the best view sitting in the wings of planes,passengers will die if they sit outside the plane,the first class airplane seats usually have higher prices,B
1866,"when a relative dies, we held a party for him",everyone will die,we only hold parties for people we love,party is held to celebrate happy things,C
1867,a bed can rest a pillow,we need a bed first if we want to use our pillows,pillows don't have lives and can't feel rest,we can put several pillows on a bed,B
1868,children will praise parents when kids did something well,the person being praised should be the one who did the good thing,a person becomes more confident after being encouraged,no one will praise adults,A
1869,professional soccer players earn money by selling footballs,we need new footballs when the previous one was broken,football players kick footballs but don't sell them,the best professional soccer player earns a lot of money,B
1870,animals are pets,many animals haven't been tamed,people who live alone often want to have pets,humans are also animals,A
1871,we grow Christmas trees in December every year,many countries don't celebrate Christmas day,Christmas trees are artificial products,Christmas trees are very rare,B
1872,sun bathing removes dirt from the body,bathing can also make people feel relaxed,sun bathing can't make things cleaner,sun bathing is common on the beach,B
1873,I bought a ticket for the taxi I took,every taxi has a driver,taxi fare is more expensive than bus fare,taking a taxi doesn't require tickets,C
1874,he was fined for smoking in his home,people have the freedom to smoke in their home,smoking is illegal,smoking is harmful to your health no matter where you smoke,A
1875,we took notes in class for recording what we were thinking,we can also get high scores without taking notes,notes taken in the class record what the teachers said,we shouldn't think anything else when we are in class,B
1876,I want to find a noisy place to have a sleep,it's difficult to fall asleep in a noisy place,usually people sleep in a fixed place,sleeping in public is rude in some situations,A
1877,People open their doors when they go out of the home,doors usually are locked from outside,people usually unlock doors before entering the home,things in an opening house are easy to be stolen,C
1878,People can chat with the dead,Dead people can't hear and talk,The dead cannot watch,Everyone on earth must die,A
1879,Sweat will be secreted when the sand touches eyes,there are no sweat glands in the eyes,People usually have two eyes,People's skin will sweat after running,A
1880,People usually put curtains on the walls,People can put wallpapers on the wall,Walls are usually opaque,Curtains usually have beautiful patterns,B
1881,People usually roast meat with cold water,it usually takes a long time to boil meat in water,People can boil meat with hot water,People need high temperature to roast meat,C
1882,People usually enter the park from the fence,Parks are usually a good place for leisure and recreation,Some parks are inaccessible to ordinary people,People shouldn't go through the fence,C
1883,People usually like to wear oversize clothes,wearing oversize clothes makes people uncomfortable,People usually like to wear beautiful clothes,Fat people usually wear big clothes,A
1884,People should break the contract,Contracts are usually concluded by more than one person,companies should fulfill certain contractual obligations,Those who break the contract will be punished,C
1885,Rats can't bite wood furniture,Rats usually like to eat nuts,Rat's teeth are harder than wood,Most rats are afraid of cats,B
1886,Sheep usually like wolves,Cows and sheep are herbivores,Wolves eat sheep,The wolf has a terror of fire,B
1887,College students usually learn the same courses,Most college students are boarders,College students have compulsory and optional courses,College students have different majors,C
1888,Eating a lot of instant noodles is healthy,instant noddles should be put into hot water before being eaten,Noodles are usually thin strips,instant noodles are junk food,C
1889,Programmers usually don't use computers,programmers need to sit for a long time,Programmers need computers to programme,programmers always wear casual clothes,B
1890,if you fail the exam you should cheat next time,cheating will make you sad,you will spend a lot of time preparing for cheating,cheating is bad and prohibited,C
1891,I should indulge myself when I fail,indulging yourself can make you happy for a while,weakness is not good quality,a failure is acceptable,B
1892,mom cooks the fried tiger meat once a week for me,tiger meat is so hard that the human can't bite them,human rarely eats the tiger meat,tiger meat tastes bad,B
1893,sprinters' arms are usually strong,what is used in the sprint are legs instead of arms,sprinters' arms are short because people with long arms take disadvantage in sprinting,people with strong arms always participate in the boxing match,A
1894,I can take part in the soccer game in formal clothes,formal clothes don't keep heat,formal clothes are expensive,formal clothes are not designed for sports at all,C
1895,we can travel on the sea by train,there is not enough gasoline on the sea,the train can't float on water,Fire extinguishes in water,B
1896,pigs' eggs are delicious,pigs will protect their offsprings,eating animals' eggs is immoral,pigs are mammals,C
1897,we can eat noodles with knives,some knives are heavy,we can't access noddles from bows by knives conveniently,knives are dangerous,B
1898,birds' milk is nutrient,birds are not mammals,birds' milk is junk food,some birds are human's friends,A
1899,People can make wires from plastics,Plastics cannot conduct electricity,People can make cups from plastic,plastic will pollute the soil,A
1900,People can read newspapers to know what will happen in the future,The future is unpredictable,people can advertise for staff in a newspaper,Newspapers usually cover important things,A
1901,People should rub water on their skin before giving an injection,water cannot disinfect the skin,People may need an injection when they are ill,Children always associate the doctor with injections and pain,A
1902,Something you might do while taking the bus is drawing an oil painting,it's too bumpy to draw paintings on a bus,it's too dark to draw paintings on a bus,it's not allowed to carry oil paintings on the bus,A
1903,She felt hungry and satisfied after having lunch,people usually don't feel hungry after just having a meal,she was hungry because she was satisfied with her lunch,she ate her favorite food for the lunch and felt satisfied,A
1904,Bob is cooking while eating dinner,he is unsatisfied with the dinner so he cooks something new,people usually cannot cook and eat at the same time,he is a cook serving dinner in a restaurant,B
1905,A person can survive a fall from a five-floor building,a person is not as strong as a rat,a human usually will be terrified standing on the edge of a five-floor building,a human will not survive such a fall without any protection,C
1906,The longest nonstop flight by a dog is eight days,a dog can't fly,flying eight days without stopping is impossible for a dog,dogs usually prefer running to flying,A
1907,He caught a cold and had a cold shower,having a cold shower will worsen the cold,the temperature was so hot that he needed a cold shower to cool down,he caught a cold after taking the cold shower,A
1908,Humans smell through their ears,it's hard to smell through ears for humans,ears are not big enough to smell,ears are for listening instead of smelling,C
1909,Alice formed a habit of sleeping to keep fit,Alice is not having enough sleep,sleeping too much is unhealthy,sleeping is a good habit to relax yourself,B
1910,It's summer and it's freezing cold outside,it's very hot in the summer,it's snowing outside so it's very cold,it's too cold to go outside in the summer,A
1911,Frogs will die with enough water,frogs cannot survive without water,frogs will drown in water,frogs can live given enough water,C
1912,Kate made books with a microwave oven,microwave ovens are used to heat food,she learned how to use a microwave oven from a book,she booked a microwave oven online,A
1913,Marry lit up rocks to make a campfire,rocks will not burn,rocks are too wet to burn,she must collect more rocks before she could light them up,A
1914,Barry went under an umbrella to stay wet on a rainy day,Barry forgot to take his umbrella,a person usually cannot hold an umbrella on a rainy day,an umbrella will keep you dry in the rain,C
1915,She goes skiing while watching TV,it's too cold to watch TV while skiing,she is watching skiing on the TV,people usually cannot ski and watch TV at the same time,C
1916,Children in school use cameras for drawing,cameras are not for taking pictures,cameras are not for drawing pictures,children are young and they cannot use cameras,B
1917,Wang is eating with poles,the poles are not hard enough to be used as a tableware,poles are too long to be used as a tableware,he cannot afford to buy poles,B
1918,Dry towels need to hang up to dry,you cannot hang up towels on a rainy day,you don't need to dry towels that are already dry,there's not enough water to dry towels,B
1919,Resting is a good exercise,resting is not a kind of exercise,you need to rest more to exercise,people need resting after exercising,A
1920,Computers and milk make a great dessert,computers are not tasty enough,computers are not sweet enough,computers are not desserts,C
1921,a basket is for warmth,baskets may burn if it's too warm,there are many holes on a basket,baskets cannot bring warmth to people,C
1922,attending class is for playing,most students take classes to learn rather than play,the class is too boring for students,students learn things by playing in the class,A
1923,He throws up when he eats nice food,he has a stomachache so he can't eat food,people usually enjoy eating nice food,he is not in the mood of eating nice food,B
1924,Shoes are meant to protect hands,shoes with poor quality cannot protect feet or hands,you wear shoes on your feet instead of your hands,the shoes are too big to be worn on hands,B
1925,most people consider it to be cold when it is above ninety degrees,people may sweat when it is above ninety degrees,people may feel uncomfortable when it is above ninety degrees,it's very hot when it is above ninety degrees,C
1926,a piece of cake is used for writing,it's a piece of cake to write things,you cannot write on a cake,writing is just a piece of cake,B
1927,Amy is angry to know that her best friend has recovered from the illness,people usually don't feel angry when they hear good news,she is angry about the illness that tortured her best friend,the illness made her best friend easy to get angry,A
1928,my jaw dropped open when I was unhappy,I was unhappy because my jaw hit the table,"my boyfriend dropped his jaw in front of other beautiful girls, which made me unhappy",an unhappy person usually keeps his lips closed tightly,C
1929,the filthy car needs to be painted,the paint is so realistic that many people believe the car is filthy,it's improper to paint on dust and stains,the filthy car carried a bucket of paint,B
1930,my friend paid for my ticket so I didn't get on the bus,I wanted to sit with my friend so I asked him to buy my ticket first,my friend paid for my ticket because I lost my wallet on the bus,a ticket is used to take a bus no matter who buys it,C
1931,dina visited her family because she distrusted them,dina's feeling was hurt so she decided to move out,people don't visit those they distrust,dina has been living on her own for 10 years,B
1932,the balloon expanded as he pricked it,if a balloon is pricked it will shrink immediately,the balloon expanded to be a huge one,"the bigger the balloon expanded, the more easily it will explode after a prick",A
1933,maggie remained quiet to lighten the mood of the conversation,after maggie's speech everyone remained quiet,maggie tries to lighten the mood of the conversation because she just said something embarrassing,quietness is a sign of dull conversation,C
1934,a hammer dropped on Bill's foot and his finger was broken,Bill's finger was broken and he couldn't hold the hammer anymore,a finger is a limb of a human hand,Bill's foot hurt so he used his finger to rub it,B
