id,FalseSent,ref1,ref2,ref3
1498,the dog barked all day and I had to wear nasal plugs,barking is not a kind of smell,"ear plugs are used to avoid hearing sounds, not nasal plugs",A person would wear ear plugs to block out noise.
1499,I prepared a rocket to go to American,the rocket is used for space travel,One cannot make a rocket to go to American since American doesn't exist.,Rocket cannot be prepared.
1500,I will wear thicker eyeglasses in winter to stay warm,eyeglasses can't be used to keep warm,Thicker glasses will not make you warmer.,"Glasses do not keep you warm, it is use to make you see better"
1501,I pulled the door shut with my eye,eyes can't move the door,"You use your hands to shut a door, not your eye.",door could be shut using hands
1502,I used my third hand to lift my coat,human only have two hands,no one has three hands,People do not have a third hand.
1503,cut your fingernails if you don't want your socks to have holes,socks are not worn on the hands,Fingernails have nothing to do with socks having holes.,You don't wear socks on your hands.
1504,after finishing all my work I felt very stressful,you don't need to feel pressure when you finish your work,You should feel relieved after finishing all your work.,one will feel stressful only if they dont finish their work
1505,you can find clouds underground,clouds only stay in the sky,Clouds are always in the sky. Never underground.,"Clouds are up in the sky, not underground."
1506,we added steel to keep the fire burning,steel is not flammable,Steel is not used for fire burning.,Fire is burning only to add wood.
1507,it's ok to go when the traffic light is red,a red traffic light means stop,You are only supposed to go on green.,In the traffic light red color denotes stop.
1508,people in the desert often look forward to flood,flood is a natural disaster and nobody wants it,There is no reason to look forward to a flood because floods cause damage.,Deserts do not usually flood.
1509,my favorite thing is surfing in the swimming pool,swimming pools don't have the wave that surfing needs,"the swimming pool is for swimming, not surfing",swimming pools have no waves to surf
1510,today I forgot to bring my mouth and couldn't have lunch,mouth is a part of the body and can't be forgotten,Mouths aren't detachable.,don't bring the mouth because is the human organ
1511,you need a compass to measure the distance,a compass is not a measuring tool,a compass does not measure distance,A compass does not measure distance.
1512,her snide comment about my weight greatly encouraged me,being laughed at by others is a painful thing,A snide comment would hurt a person.,people are offended by negative comments on weight
1513,the ground was covered by wind after the storm,the wind is made up of air and can cover nothing,the ground was covered by dry leaves after a storm,Wind does not cover ground.
1514,we can see different moon by traveling,there's only one moon in the world,The Earth has one moon.,Moon doesn't change
1515,Jim stole her heart and now he is a criminal,let others fall in love is not a crime,Heart is not responsible to become anyone criminal.,Stealing a heart is nearly impossible to physically do.
1516,people smoke to get sick,nobody wants to get sick,people do not want to be sick,no people smoke to get sick
1517,every boat has a life jacket to prevent a person from falling in water,people wearing life jacket may still fall into the water,a life jacket wont stop you falling into the water but only stop you drowning,Life jacket won't prevent a person from falling in water.
1518,the drink is too iced so I dropped many ice cubes in,ice cubes will only make the drink more iced,you are not supposed to put any more ice cubes to a drink that is already too iced.,cold drinks doesn't need more ice
1519,a good cooker can cook good food,cookers are tools to cook food,good is only prepared by a good cook,cooker is an appliance that alone cannot cook good food
1520,we dug on the wall to drill a well for the village,there's no water in the wall,You dig in the ground to build a well.,We cannot dug the well on the wall.
1521,he is such a smart boy that he learns everything slowly,smart people learn things fast,smart boys learn fast,Smart boys do not learn slowly.
1522,he can't walk with an injured hand,we don't use hand to walk,hands aren't used for walking,People don’t use their hands to walk
1523,I was so hungry that I ate the whole elephant,an elephant is too big for a human's stomach,A person can not eat a whole elephant.,Elephant is huge for a human to eat
1524,the chef is hired to eat food for customers,the chef's job is cooking,Chef will prepare food for customers,the chef is supposed to cook food for the customers
1525,he is a nice boy because he yells at everyone,it's very rude to yell at others,If anyone is yelling at everyone then he can not be nice.,nice people don't yell at everyone
1526,my cat feeds me every day,animals can't prepare food for humans,people feed cats; cats don't feed people.,cats do not have the ability to feed people
1527,I put on my clothes to take a shower,your body can't get clean with clothes worn,you don't shower with clothes on,When taking shower clothes have to be removed
1528,Tom smashed glass and reused it after cleaning,a glass can't be reused after breaking in pieces,Glass cannot be cleaned or reused after being smashed.,You can not use glass after it breaks.
1529,I stored my boxes in a book,there's no space in a book to store boxes,books can't store boxes,The books are the ones that should be stored in the boxes.
1530,you have to sing if you want to catch a fish,you can catch a fish without singing,there is no need to sing to catch a fish,you can't catch a fish by singing.
1531,I need to go to the hospital to treat my tail,humans don't have tails,People don't have tails.,no human have tail in back
1532,he got married and became a single man,married people are not single,single men aren't married,WHEN HE WAS GOT MARRIED HE DOES NOT A SINGLE MAN
1533,trees grow leaves to prevent being knocked down,leaves have nothing to do with fixing trees,Tree grow roots to prevent being knocked down.,Leaves always fall down.
1534,we are all very angry that it's sunny again after so many days raining,most people consider sunny day a pleasant thing,after many days of raining everyone will be happy to see that its sunny,"rain is depressing, sun makes people happy"
1535,I'm looking for the handrail to go upstairs,people can't walk in the handrail,elevators are used to upstairs,the handrail would be attached to stairs or you would not need one
1536,I applied for the job to relax,work is a burden for most people,you dont usually relax at work,you don't work to relax
1537,I bought a new toothbrush to clean my face,toothbrush is used to clean teeth,A toothbrush is used to clean teeth not the face,A toothbrush is used to clean teeth
1538,I used an umbrella to avoid drenching on the beach,rain isn't the main cause of drenching on the beach,the beach is not usually visited in the rain,umbrella avoid drenching from only rain
1539,I hurried to the ticket window to sell two tickets,ticket windows don't buy tickets from customers,You buy tickets at a ticket window.,you buy tickets from the ticket window
1540,bad luck is part of the reason I can succeed,bad luck leads to bad things,Good luck is part of success,one cannot succeed if they have a bad luck
1541,I connected to the hi-fi to shop online,people can shop online without the hi-fi,The hi-fi let you only listen to music,we have to get connected wi-fi to shop online
1542,Alice lacks the laziness to be in charge of a project,being in charge of a project doesn't need laziness,usually who is responsible is not lazy,its against common sense because being in charge of a project does not require laziness. It requires the opposite.
1543,"as a butcher, I killed farmers every day",murder is against the law,butcher will cut only meat not farmers,"butcher kill animals, not farmers."
1544,tomato paste is common in the bathroom,the tomato paste is mostly used in the kitchen,Tomato paste is not necessary in bathroom.,tomato paste should be put in the kitchen.
1545,my baby needs a bottle of beer every day,babies don't need beer,BABY DOES NOT NEEDS BEER ONLY MILK,A baby should be drinking milk and not a beer.
1546,he brought a moon for his wife,no one can buy moon now,moon is a planet that can't be bought,moons cannot be handled
1547,Tom hunted a bear in the library,the library isn't the habitat of bears,in library we can't hunt animals its a place to read books,library is not an area in which you can hunt
1548,he went to the kitchen because he felt sleepy,kitchen doesn't have sleep equipment,no one sleep in the kitchen,Going to the kitchen won't happen because feeling sleepy.
1549,he was very sad when his pay raised,have higher payment is a good thing,People are usually happy when they get a raise.,If pay raised we should be happy.
1550,the baby kangaroo will be put in its mother's hands,kangaroos stay in their mothers' pouch when they are young,kangaroos delivers the baby by themselves,kangaroos don't have hands
1551,we always drink apples at breakfast,apples are not liquid,You can not drink apples.,You cant drink an apple
1552,I felt energetic after having expired food,expired food is bad for health,expired food would make you feel sick,Because Expired food an make you sick.
1553,a credit card allows me not to pay money,you need to pay money back to the bank after using a credit card,"You may not be paying money NOW with a credit card, but you sure will pay eventually.",the credit card is made for payments
1554,I do homework every day to keep healthy,doing homework can't make you healthier,homework and staying healthy are never a same thing,Homework doesn't contribute to health.
1555,I built a car in the store,there's no equipment to build a car in the store,store is not the place to built a car,A car is built in a shop.
1556,she is good at swimming so she plays water polo well,swimming is only a part of playing water ball,water polo need not to know swimming,It takes more than swimming to play water polo.
1557,I swim well so I have an advantage in art,swimming is not a kind of art,swim will not help in art,Swimming does not have anything to do with art.
1558,her skin got whiter after sunbathing,sunlight can make skin darker,After sunbathing her skin would have got darker.,a tan makes your skin darker
1559,I speeded up my car to park it,the faster a car runs the more difficult it is to stop it,"in order to park, a car needs to slow down","To park a car, we slow down to a stop"
1560,I am looking for a new wife after being fired,what you lost is a job when you are fired,you don't find a new wife after losing a job,One does not look for a wife after being fired from a job.
1561,you need hardware or software to surf the Internet,we can't surf the Internet with only hardware or software,You need both to surf the internet,Software does not help you surf the internet.
1562,I helped the robot to find its dad,robots are all from the factory,Robot doesn't have father.,robots don't have parents
1563,I prepared some fuel to power myself,humans don't eat fuel,You can not use fuel to power humans.,Fuel is for cars.
1564,policeman tried to arrest criminals to send them home,criminals are punished by staying in prison,home does not have a jail,Criminals go to jail
1565,I will go to the hospital tomorrow to check if I'm alive,a person can't go to the hospital if he is dead,You cannot go to the hospital when you are dying.,you can't go anyware if you're not alive
1566,I saw the sound of the birds,sound can't be seen,we cant see the sound . we can only hear the sounds not only birds but any sounds,you can't hear sounds
1567,nurses take care of doctors,doctors don't need the care of nurses,NURSES HELP DOCTORS,nurses take care of patients
1568,the fans sat in the soccer field to enjoy the football match,soccer field is used to play soccer,Football isn't played in a soccer field,You are supposed to be watching a soccer match in a soccer field.
1569,I called a taxi and paid for the car,taxi isn't a car for sale,If I called a taxi they why paid for a car,"when you use a taxi, you pay just for the ride"
1570,I keep things messy so that I can find something quick,it's difficult to find things in a mass,More clutter makes it harder to find things.,it takes more time to find something in a messy place
1571,I wore my wedding ring on my left foot,ring should be worn on the hand,A wedding ring is worn on the left hand,Wedding rings are worn on hands.
1572,a ruler can help you do sums faster,rulers can't calculate numbers,"A ruler is used for measuring, not arithmetic.",A ruler can not add.
1573,villagers planted a well to get water,the well is not a plant,"They can dig a well, but only a seed or plant can be planted.","you dig a well, not plant it"
1574,I used steel to make a fish tank by myself,making fish tanks need transparent material,A fish tank is not made out of steel.,fish tanks are made of glass
1575,I put my books in the wine rack,the wine rack isn't suitable for putting books,Books go on a bookshelf not on a wine rack.,A wine rack is made to hold wine bottles.
1576,everyone is amazed at her appearance when they first time smell her,we can't judge one's appearance by smelling,You can not be amazed from appearance by smelling a person.,An appearance is not related to smelling.
1577,we need woods to produce erasers,erasers are made by rubber,we cant make eraser with woods,Wood does not produce erasers.
1578,I sunbathe on the dressing room every summer vacation,there's no sun light in the dressing room,dressing rooms don't get sunlight,"A dressing room, even one of those tent things out on the beach, is not something you can get ON to."
1579,a rainy day is a good chance to dry the clothes,clothes dry very slow in a damp environment,"You dry clothes when it is sunny day, not rainy.",WET IS NOT SUITABLE FOR DRY THE CLOTHES
1580,if you are robbed you should call the firefighter,firefighters are responsible for handling fires,"Firefighter are called when buildings are on fire, not when you are robbed",Firefighters don't help with robbery
1581,he had an operation on his mind yesterday,the mind is not a human organ,no one can have operation on their mind,One does not have an operation on their mind. It is impossible.
1582,the bait is a very common dish for coastal people,the bait is not food for people,"Although it may be the same thing, the term bait is used for animals, while the term food would be more appropriate for people.","You use the bait to catch fish, not to eat."
1583,I see a duck diving in the river,the duck can't dive in the water,Duck swim in the river.,Ducks swim in a river
1584,I spent more time on having fun so I had better grades,having fun can't help you study better,spending more time on fun wont help for better grades it will degrade,you'd have to spend more time studying to have better grades
1585,I bought some apple from the butcher to restock my freezer,butchers only sell meat products,,
1586,I use the fork to cut the beef,the fork is not suitable for cutting,fork is not made for cut beef,Forks can not cut beef.
1587,eating too much is an unhealthy way to lose weight,eating too much can't help you lose weight,eating too much gains weight,You can not lose weight by eating too much.
1588,she was very angry when her son was admitted to the best school,parents want their kids to go to the best school,She will be happy when her son gets admitted to the best school.,she would be happy if he was admitted to the best school
1589,wine cellars are not just for drinking,wine cellars are used to store wine,You can't drink a wine cellar.,wine is just for drinking
1590,my grandpa can't sleep so he took stimulant pills,stimulant pills will make people feel more excited,stimulant pill is not needed for someone not asleep,"Stimulants make people alert and active, so grandpa would be unable to sleep after taking them."
1591,I'm looking for a policeman to mail the letter,the policeman only handles crimes,only postman can mail the letter and not the policeman,"Postmen help you mail letters, not policemen."
1592,every time my cat eats bamboo it is very happy,cats don't eat bamboo,cats do not eat bamboo,Cats don't eat bamboo.
1593,we protect pandas in the zoo so they are rare,zoos also collect common animals,"By protecting pandas, the number of pandas will increase rather than decrease.","We protect pandas because they are rare, not that they are rare because they are in zoos."
1594,she can become a model because she is out of shape,a model needs a good figure,Model should have fit shape.,To become a model you should not be out of shape.
1595,she asked the cook to add more salt because she loved sweets,salt can't make food sweeter,salt is not sweet,"Salt is bitter, not sweet."
1596,we listened carefully to what the teacher was thinking,people can't hear others' mind,You aren't able to listen to what someone is thinking.,You cannot listen to and hear minds.
1597,you need a hat to prevent the spread of infection,hats can't stop the infection,infection is spread through inner body,Wearing a hat does not prevent the spread of infection.
1598,I bought a razor for my mother as a gift,woman don't sprout a beard,Usually would buy a man a razor not a woman.,females dont need to shave
1599,you need to hang off the phone when the phone is ringing,the phone ringing means a call came in,When it rings you are supposed to pick it up.,you cant hang off a phone even when ringing
1600,we agreed on a location before we had a call,calling doesn't require people to stay in the same place,"If you do not speak, you can not agree","You can not agree to something with someone before you call someone.""HITId"
1601,the root shelters us from the rain,the root grows underground,A root is in the ground and helps plants collect nutrients and can't be used for shelter.,Roots are in the ground and cannot shelter peoole.
1602,we should order as much food as we can in the restaurant,ordering too much food will cause food waste,Most people order just what they can eat in a restaurant.,It's a waste of money if you can't eat it all and have to throw it out.
1603,Muslims do not eat pork because of the taste,Islam doesn't allow believers to eat pork,Muslims don't eat pork because it's against their religion.,Muslims do not eat pork because it is forbidden in their religion.
1604,Coca-Cola has been popular for hundreds of years because of its name,people are attracted by the taste of the drink,Coca Cola was invented 132 years ago.,Coca Cola hasn't been around for hundreds of years.
1605,I just can't balance myself to drive the car,driving doesn't require drivers to balance themselves,Driving a car doesn’t require balance.,You don't need to balance to drive a car.
1606,he grew up one year younger after every birthday,people can't grow younger,You grow older not younger.,We get older on our birthday.
1607,air conditioning can change the brightness effectively,air conditioning is not used for lighting,Air conditioning affects the temperature making it cooler.,Air conditioning doesn't change lighting.
1608,I got married after I found out that my wife had cheated on me,no one will marry an unfaithful woman,Discovering infidelity in a relationship would not usually lead to marriage.,You can't marry someone who is already your wife.
1609,I used the water to pack the pork,only solid can pack things,water cannot pack anything as it is fluid,Water cannot be used to pack pork.
1610,I need toothpaste to take a shower,toothpaste is used to brush teeth,toothpaste is not necessary for a shower,you do not use toothpaste as body soap or water
1611,the heroine kisses the audience in this movie,people in the movie can't interact with the audience,A movie heroine is not able to kiss a movie audience.,Actors in a movie cannot kiss their audience as they are on a screen.
1612,people in the desert don't need water,everyone needs to drink water,As desert is the dry area the people over there needs plenty of water to drink.,People in the desert need water not to dehydrate
1613,queuing is a punishment for destroying order,people who haven't made mistakes should also line up,Queuing is part of order.,Queuing is basically putting things in order.
1614,ears are the organs we use to breathe,ears are used to listen,There is no organ that we use to breath.,we listen with our ears
1615,we planted mines for a better world,mines kill people and make the world worse,mines hurt people,Mines are destructive not beneficial.
1616,running can improve our thinking ability,running improves our athletic ability,Running isn't a proven way to improve thinking.,Running promotes physical health not mental health.
1617,spring is the season of harvest,spring is the season of sowing,"Spring is usually planting time, not harvesting time.",season of harvest is not spring
1618,advertising is used to show the shortcomings of products,advertising is designed to attract people to buy products,Advertising is used to market products to increase sales.,"advertising is to get people to want to buy the product, not tell you what's wrong with it"
1619,she employs a chef because she can't drive,the chef can't help her drive her car,"A chef's job is cooking, not driving.",a chef is a cook
1620,it's a great honor for me to have a talk with my mother,speaking to mother is a normal thing,"Having talks with parents is nothing out of the ordinary, and therefore isn’t much of an honor.",talking to your mother would be normal not a great honor
1621,he needed a calculator to solve this simple calculation,people can solve simple calculations by ourselves,"If it is simple, you shouldn't need a calculator.",simple math can easily be done without a calculator
1622,chatting with American is good for our Chinese learning,American doesn't speak Chinese,Americans speak English.,American person does not help Chinese learning.
1623,farmers can pick up apples on the ground,books are not containers,Apples grow on trees.,apples are grown up on the trees only
1624,Americans couldn't understand what he said because of his standard spoken English,standard English is easy to understand for Americans,English is the first language in America,Americans also known the standard spoken english
1625,illness can be cured during routine physicals,routine physicals don't include any treatment,physicals check for well being not curing.,Routine physicals do not cure illnesses.
1626,I earned money by sleeping,nobody will pay you for sleeping,"  No way to make money without producing, just sleeping",We earn money from the work that we are employed in.
1627,my father found that he was pregnant yesterday,only women can be pregnant,males are not pregnant,men cant get pregnant
1628,my nice wearing left a bad impression on him,people admire those wearing nicely,You don't wear nice.,Wearing something nice would make a good impression on somebody.
1629,my new day began with a beautiful afternoon,afternoon comes later than morning in a day,The day begins in the morning.,day begins with sunrise
1630,I bought some beds to open a cafe,the cafe is not a place to sleep,"Beds are not needed to open up a cafe, you should buy table.","Cafe's don't have beds, you don't sleep or lie down in a cafe."
1631,rice is the main food for all the people,not everyone eats rice,Rice isn't a main food for all people.,all people do not eat rice
1632,the game company makes games for encouragement,people set up companies to make money,Games are for fun not encouragement.,Games are made for profit.
1633,the shopping mall is filled with car parks,the shopping mall is mainly used for shopping,There are no car parks on the inside of a shopping mall.,"The shopping mall should be filled with shoppers, not car parks."
1634,the poem used many beautiful pictures,a poem is made of words,Poems use words not pictures.,Poems dont use pictures
1635,a wall without touching the sky is impossible,no wall can touch the sky,Walls don't touch the sky,A wall cannot touch the sky.
1636,the handle on the door is for decoration,the handle on the door is a very practical thing,Handles are functional not decorated.,"A handle on a dorr helps open the door, it is not for pure decoration."
1637,newspapers are printed by journalists,journalists write articles in a newspaper,"Journalists write the contents of a newspaper, they do not print it.",A printer is the person who prints a newspaper.
1638,I need to buy a CD to watch videos at home,a CD can't store videos,A CD isn't used for video.,"CDs contain music, not videos"
1639,you can download a wrench on the Internet to fix the windows,hardware can't be downloaded,physical objects cannot be downloaded from the Internet,"Wrenches are physical tools, not virtual ones."
1640,I bought a headphone to share the music with others,the headphone is a private music player,One headphone won't allow you to share with other people.,Headphones are used on your ears so only you can hear the music.
1641,my parents went to the same public toilet just now,public toilets are divided by different genders,Public toilets are usually separate for males and femals.,"MEN AND WOMEN HAVING TWO SEPARATE TOILETS, THEY CANNOT WENT SAME TOILET"
1642,my mother asks me to litter my room every day,parents want their kids' rooms clean and tidy,Rooms should be cleaned every day and not littered in.,"Moms want rooms to be clean, not dirty."
1643,programmers plant crops every day to earn money,programmers are not farmers,Programmers design software not farm.,"Programmers program computers and software, but do not plant crops for money."
1644,you don't need learning to be a musician,musicians need to have a lot of professional knowledge,it requires year of learning and practice,A musician must learn music.
1645,the library is a good place to sleep because of its quiet environment,libraries are not used for sleeping,The library is a public place where it is frowned upon to sleep.,library is for reading
1646,I'm writing code on the paper,code on the paper can't run,Code is not written on paper.,Code is written on a computer.
1647,I used plastic bags to be environmentally friendly,plastic bags have caused many environmental problems,Plastic bags are harmful to the environment.,Plastic itself is not good for the environment.
1648,we can work in the night thanks to the sunlight,the sun is on the other side of the earth in the night,There is no sunlight at night.,The sun sets at night making it dark.
1649,soldiers wore fatigues to be attractive in the jungle,fatigues are used to camouflage something,why do soldiers should be attractive in the jungle wearing fatigues this is against common sense.,Fatigues help soldiers blend in with the environment they are in.
1650,I gradually recalled something due to the memory decay,recalling something requires a good memory,"Memory decay would cause one to lose memories, not help with them.",Memory decay doesn't allow for recall.
1651,Japanese has borrowed heavily from barking,barking is not a human language,Japanese cannot has borrowed anything heavily from barking.,Barking is sound of dog.
1652,I need a stamp to send this email,sending emails doesn't need stamps,You don't need a stamp to send an email.,"Stamps are for standard mail, not electronic mail."
1653,I encourage my daughter to walk alone in the darkness,walking alone in darkness is considered a dangerous thing,It's not considered safe to walk alone in the darkness.,"People, especially women, should not be encouraged to walk alone in the dark."
1654,the rain fell into my head and my brain got wet,rain can't get into people's heads,Your brain is inside your head and cannot get wet,Your brain is completey covered by your skull and skin.
1655,I can't live without snacks,you can eat other food to live,snacks are not necessities for life,A person can live without eating snacks.
1656,"this is a bumper harvest year, we picked tons of leaves from apple trees",apples are what we need in apple trees,We don't pick leaves from apple trees.,The apple is the fruit that we harvest from apple trees.
1657,stone can warp the paper,stone is not flexible,"stone cannot warp paper, water can",Stone would likely rip through paper.
1658,proper temperature can be found on the south pole,it's always extremely cold on the south pole,the south pole is incredibly cold,The South Pole doesn't have so called proper temperature.
1659,proper temperature can be found on the south pole,farther distance is a disadvantage,the south pole is incredibly cold,The South Pole doesn't have so called proper temperature.
1660,I felt happy again after eating terrible food,nobody wants terrible food,Terrible food makes you feel bad which does not lead to happiness.,Terrible food wouldn't cause happiness.
1661,I need inspirations to clean bowls,cleaning bowls is not a creative work,cleaning is necessary and doesn't require inspiration.,Cleaning a bowl does not require inspiration.
1662,the uniform gave the police the right ro search your house,uniforms don't have any legal effect,Searching house is not the police duty,Wearing police uniform is not mean they have the right to search they wish
1663,I lit my house to warm myself,I will have no place to stay if I burn my house,"You wouldn't light your house for warmth, but rather the fireplace within your home.",Lighting your house will ruin your house.
1664,the flowers are crying,only animals can cry,flowers physically can not cry.,flowers don't cry
1665,we can talk with dogs,dogs can't speak humans' language,Dogs cannot talk.,Dogs cannot speak to us.
1666,he thought it would rain soon so he carried sunglasses,sunglasses are used in sunny days,Sunglasses don't help with the rain.,you carry an umbrella for rain.
1667,I brush my teeth every day to keep them dirty,brushing your teeth can make your teeth cleaner,You brush teeth to keep them clean,Brushing teeth cleans them.
1668,we can use fabricated data in scientific researches,scientific research should be realistic,Scientific research uses true information.,fabricated data will cause research to be invalid
1669,we should ignore the traffic light when we go across the road,traffic lights tell us if we can go across the road,If you ignore traffic signals you could be injured or injure others.,It is dangerous to ignore traffic lights.
1670,the modern city is more agricultural than the countryside,the city doesn't have the conditions for agriculture,"The countryside is agricultural, not the city.",Buildings are found in cities.
1671,we went to the cemetery to chat with the dead people,dead people can't speak anymore,"You cannot talk to people that are dead, they do not respond.",The dead don't talk
1672,my best friend was in my lost wallet,wallet is too small for a person,a human does not fit in a walet,Your friend can't fit in a wallet.
1673,"if we pick up other's wallet, we should share it with our friends",the thing we picked up doesn't belong to us,"If you find a wallet, you should return it.","If someone retrieves someone else's wallet, it should be returned to them."
1674,the climate is a part of a nation's culture,the climate is not created by humans,Climate not depends on culture,Climate doesn't generally have a huge impact on culture.
1675,everyone has expensive fingerprints,no one will pay for fingerprints,an actual finger print does not cost anything,Nobody pays for fingerprints because we are born with them.
1676,my heads hurt,a person only has one head,people only have one head,people only have 1 head
1677,I found a lipstick in my mother's first-aid kit,the lipstick is not a medical product,Lipstick is not a first-aid item.,Lipstick is not a first aid
1678,I fed pork to my wheat,crops don't eat meat,wheat does not eat meat,wheat cant eat
1679,my family go to the park to see plum blossoms every summer,plum blossoms only exist in winter,"Plum blossoms do not blossom in the summer, they blossom in spring.",Plums don't blossom in the summer.
1680,I bought some desert in the shopping mall for my daughter,desert can't be sold in shopping malls,You cannot buy a land mass at the mall.,Desert cannot be purchased by anyone as it is a type of place
1681,low-calorie food is more likely to make people fat,low-calorie food provides less energy to people,People get fat by taking high calorie food not the low calorie food,Only high calories make fat not low calories
1682,the chick wanted to find its mother's breast to be fed,chickens are not mammals,Birds feed their chicks using their beaks.,chicken do not breast feed their young
1683,humans' lifespan has been shortened thanks to the development of medical technology,advanced medical technology keeps more people away from death,Medical technology has lengthened the human life.,Medical technology has prolonged the lifespan of humans.
1684,one day humans will settle on another star,stars are not solid objects,There is not another star fit for human life.,humans live on a planet
1685,sailors work on the land,sailors work in ships and ships always float on the water,"Sailors sail, on the water.",Sailors work at sea.
1686,teachers assign housework to the students,housework has little to do with what students learn in school,"Teachers do not assign houseworks, they assign homework.",Teachers assign homework.
1687,appearance is not very important for actors,being actors has a high requirement for appearance,Actors use apperance in an important way for their craft.,An actors appearance is very important to their role.
1688,normal wearing can cause people to notice you at the party,normal things can't attract people's attention,Wearing something normal does not usually cause people to notice you.,if you are normal you don't stand out
1689,wearing a party hat to attend the funeral is perfect,a party hat shows disrespect at a funeral,A party hat would be inappropriate because funerals are not happy occasions.,It would be rude to wear party attire to a funeral.
1690,you will feel inferior about yourself when you dress nice,nice dress will make one feel confident,Dressing nicely will boost confidence.,Every one feel good when dress is nice
1691,I cut my hair longer at the barber's,we can't make hair longer by cutting,you cut things shorter,"cutting hair makes it shorter, not longer."
1692,I can count the number of stars in the sky,there are too many stars to count in the sky,"There are innumerable stars in the sky, and the naked eye can't come close to seeing every star existing in the sky.",it is impossible to count the vast number of stars in the sky.
1693,we can't breathe in the water because I don't have tails,the tail is not used to breathe,Having tails won't help anyone breathe in the water.,Tails don't impact breathing in or out of the water.
1694,I could drink the whiskey on his breath,we can't drink other people's breath,You cannot drink breath.,"You can smell, not drink, an odor."
1695,I sat in the trunk of the taxi with my girlfriend,the trunk is used for storage,You don't ride in the trunk of a taxi.,You don't sit in the trunk of a taxi.
1696,chefs should wear gloves before preparing food for customers,gloves will make chefs' hands less agile,they should wear them WHILE preparing food.,gloves are meant for weather not cooking
1697,people go to jail because they don't want freedom,giving up the right of freedom is not the reason people go to jail,Jails are for people who have committed crimes.,People go to jail as punishment due to committing a crime.
1698,I saw snow in Singapore in June,it's summer in June in Singapore,It does not snow in Singapore during June.,It does not snow in the summer.
1699,an umbrella can help you keep warm in snowy days,we don't wear umbrellas,umbrellas keep you dry not warm,An umbrella does not provide warmth.
1700,the plane is a useful transportation tool in campus,campuses are too small to use planes,Airplanes do not fly close to buildings.,A plane is not used for transportation on campus.
1701,fans were sad when their team scored a goal,scoring goals means your team can win the game,Supporters were happy to see their team score,Fans would celebrate a goal being scored.
1702,I got a scholarship for cheating in the exam,people should be punished rather than rewarded for cheating,cheaters don't win,There's not a scholarship for cheating.
1703,the hot weather made me keep bleeding,people only bleed when they are injured,"Hot weather would make you sweat, not bleed.",Hot weather does not increase bleeding tendency.
1704,you don't need to try out products when you shop online,people do need to try out products when they are shopping,you can't try out products when you shop online,You should try out products regardless of how you buy them.
1705,reading can make driving a joyful thing,drivers can't read books when they are driving,You cannot safely read and drive at the same time.,"When driving, we must focus our eyes on the road ahead of us."
1706,everyone said I had two beautiful mouths,a human only has one mouth,Humans have just one mouth.,People only have one mouth.
1707,cat walking is a useful skill in marathon running,cat walking is used by models in the show,marathon is only depends by the persons confidants,Cat walking has no positive effect on running a marathon.
1708,both funerals and weddings are cheerful ceremonies,the atmosphere in funerals is sad,Funerals are sad events.,Funeral is not a happy occasion
1709,I often bought chalk for teachers to write on the ipads when I was a boy,chalk is used to write on the blackboards,Chalk is for writing on chalkboards.,Chalk is not used on an ipad
1710,his father died for giving birth to him,men can't have childbirth,Fathers do not give birth,a father cant give birth
1711,gardeners grow crops in gardens,growing crops is farmers' job,farmers grow crops,gardeners is always grow the garden's plants only
1712,I use Photoshop to change the color of my room,Photoshop can't change the colors in the real world,Photoshop cannot change the color of something in the real world.,Photoshop edits images on a computer.
1713,I can't forget the night that I saw cells with telescope,telescopes are used to observe things far away,a telescope cannot view cells,Cells are watched through microscope
1714,I burned myself accidentally when I was taking a shower,we don't use fire when we take a shower,"You cannot burn yourself when taking a shower, you would use while.",shower water doesnt get hot enough to burn
1715,every time I hang out at the cinema I will get drunk,the cinema is a place for watching movies rather than drinking,Public intoxication is illegal.,Drinking at the cinema isn't possible everywhere.
1716,I gave birth to my grandson,it's my children giving birth to my grandchildren,"It is highly unlikely to naturally conceive and give birth to your grandson,","Giving birth to him would make him your son, not grandson."
1717,you should have your passport ready before you take domestic flights,you need your passport only when you are abroad,You do not need your passport for domestic flights.,A passport is not needed for domestic flights.
1718,I'm looking for a gas station to refuel my bicycle,bicycles don't consume fuel,Bicycles do not need gasoline.,Bicycles don't need fuel.
1719,I refused to drive after drinking gas,humans can't drink gas,Gas is fuel for cars.,Drinking gas would kill you.
1720,mushrooms are a very rare dish in Asia,most people can get mushrooms to eat easily,Mushrooms aren't rare.,mushrooms are very common in Asia
1721,we can change our fingerprints when we want,humans' fingerprints can't be changed,fingerprints are the same from the time you are born,It is not possible to change our fingerprint
1722,flu can spread easily through eye contact,the disease can't spread through eye contact,Flu is spread through the air and through bodily fluid contact.,"The flu spreads by droplets, not eye contact."
1723,my son was terrified when he menstruated for the first time,only females menstruate,Boys do not menstruate,Men and boys do not menstruate.
1724,waterfalls are a feat of modern engineering,waterfalls are not created by humans,Waterfalls are usually a natural occurrence and not a result of engineering.,waterfalls are natural occurrences
1725,I'm so busy that I haven't slept for two years,it's impossible for people not to sleep for two years,No one could survive without sleeping for two years.,The body could not go that long without sleep.
1726,we can't breathe without the noses,we can also use mouth to breathe,We don't have multiple noses.,Noses are not all we need to breathe.
